Team,2013_Players,2013_Money,2014_Players,2014_Money,2015_Players,2015_Money,2016_Players,2016_Money,2017_Players,2017_Money,2018_Players,2018_Money,2019_Players,2019_Money,2020_Players,2020_Money,All_Players,All_Money
all,261,1922.715,241,2715.692,227,2598.811,243,2525.422,194,1956.557,245,3560.510,176,3760.499,203,2690.089,1790,21730.295
ATL,6,86.873,9,185.581,6,124.286,2,14.920,1,4.000,3,26.400,2,240.000,2,9.100,31,691.160
AZ,8,115.217,6,21.750,5,64.500,5,31.931,6,58.950,11,156.352,7,50.754,6,135.900,54,635.354
BAL,6,44.115,8,53.125,6,96.575,10,86.774,9,11.607,8,345.922,1,45.000,11,53.900,59,737.018
BOS,8,62.852,9,273.950,6,41.550,6,56.900,7,46.250,6,4.403,7,165.500,7,111.851,56,763.256
CHC,11,87.299,5,62.678,7,198.220,5,88.376,7,67.844,8,142.342,3,334.500,14,99.534,60,1080.793
CHW,11,33.575,13,81.113,14,116.440,8,60.120,8,46.452,8,106.357,9,58.945,3,105.000,74,608.002
CIN,4,39.950,5,119.325,6,140.280,3,36.200,8,73.300,2,12.000,7,495.900,3,67.100,38,984.055
CLE,12,78.774,3,148.417,7,77.097,,,4,18.930,8,102.616,7,64.530,7,10.000,48,500.364
COL,12,31.500,11,57.393,13,138.954,12,139.722,10,75.847,5,144.548,6,99.349,5,145.710,74,833.023
DET,15,89.565,10,48.152,11,82.853,8,42.753,8,144.800,6,131.750,4,81.100,7,92.819,69,713.792
HOU,1,2.468,7,82.815,,,6,38.500,5,51.400,5,256.086,4,67.700,5,32.700,33,531.669
KC,5,28.600,4,87.560,6,98.300,13,74.100,7,21.480,12,164.921,8,17.602,12,43.761,67,536.324
LAA,9,61.950,7,94.975,4,36.000,7,147.860,,,8,182.500,1,1.250,6,26.150,42,550.685
LAD,11,92.296,14,119.750,16,225.100,10,76.836,4,18.225,6,105.970,8,164.960,3,99.296,72,902.433
MIA,5,25.100,4,55.250,8,131.000,8,107.100,2,13.700,11,268.725,3,618.500,3,6.500,44,1225.875
MIL,9,101.974,10,95.808,9,155.665,7,85.310,18,182.962,20,64.846,11,64.430,4,12.500,88,763.495
MIN,6,20.292,3,29.505,7,40.783,14,100.255,3,49.000,8,31.852,3,48.000,17,282.704,61,602.391
NYM,11,129.452,10,155.105,14,66.625,11,168.640,6,13.010,10,85.284,2,50.400,5,122.720,69,791.236
NYY,7,80.478,10,149.288,3,102.822,2,67.123,2,37.368,8,100.004,6,38.000,11,86.022,49,661.105
OAK,12,86.500,6,115.551,11,93.625,14,167.215,4,43.650,7,227.750,3,67.000,6,13.650,63,814.941
PHI,8,24.900,11,51.450,9,48.500,9,202.900,10,42.000,10,52.500,13,170.000,4,42.000,74,634.250
PIT,2,10.900,4,198.360,2,6.240,2,38.040,4,252.470,3,122.440,1,4.520,2,15.020,20,647.990
SD,11,13.372,10,42.336,9,19.112,11,158.069,13,64.712,7,47.691,5,61.000,10,86.400,76,492.692
SEA,7,85.109,8,19.350,5,49.350,8,65.350,9,101.500,14,139.200,5,120.250,4,255.400,60,835.509
SF,10,79.079,7,46.650,11,126.190,5,111.500,6,53.506,7,105.940,5,176.200,1,7.320,52,706.385
STL,14,80.540,6,91.900,5,41.850,6,24.100,2,36.200,15,102.025,15,123.800,8,204.466,71,704.881
TB,14,181.254,12,37.342,9,36.000,16,106.430,10,28.450,11,55.008,14,119.954,10,172.838,96,737.276
TEX,6,19.255,7,28.586,6,60.060,9,93.250,7,86.960,4,25.890,2,12.460,9,47.710,50,374.171
TOR,12,30.076,13,103.927,6,141.584,12,30.394,12,269.984,10,45.588,7,126.645,12,132.018,84,880.216
WAS,8,99.400,9,58.700,6,39.250,14,104.754,2,42.000,4,203.600,7,72.250,6,170.000,56,789.954
